,Test Date,County,New Positives,Cumulative Number of Positives,Number of New Tests Performed,Cumulative Number of Tests Performed
2,2020-05-13,Bronx,303,41980,3338,127471
23,2020-05-13,Brooklyn,428,51095,6107,168270
30,2020-05-13,Manhattan,177,24525,3697,100869
40,2020-05-13,Queens,336,58084,4439,171836
42,2020-05-13,Staten Island,51,12861,869,43540
64,2020-05-12,Bronx,236,41677,2678,124133
85,2020-05-12,Brooklyn,336,50667,4615,162163
92,2020-05-12,Manhattan,157,24348,2825,97172
102,2020-05-12,Queens,357,57748,3829,167397
104,2020-05-12,Staten Island,41,12810,806,42671
126,2020-05-11,Bronx,145,41441,1510,121455
147,2020-05-11,Brooklyn,259,50331,2984,157548
154,2020-05-11,Manhattan,129,24191,1984,94347
164,2020-05-11,Queens,211,57391,2552,163568
166,2020-05-11,Staten Island,22,12769,517,41865
188,2020-05-10,Bronx,237,41296,2140,119945
209,2020-05-10,Brooklyn,255,50072,2825,154564
216,2020-05-10,Manhattan,85,24062,1496,92363
226,2020-05-10,Queens,318,57180,2937,161016
228,2020-05-10,Staten Island,45,12747,493,41348
250,2020-05-09,Bronx,255,41059,2935,117805
271,2020-05-09,Brooklyn,356,49817,3682,151739
278,2020-05-09,Manhattan,96,23977,2336,90867
288,2020-05-09,Queens,369,56862,3416,158079
290,2020-05-09,Staten Island,52,12702,717,40855
312,2020-05-08,Bronx,271,40804,2873,114870
333,2020-05-08,Brooklyn,463,49461,4747,148057
340,2020-05-08,Manhattan,151,23881,2633,88531
350,2020-05-08,Queens,549,56493,4596,154663
352,2020-05-08,Staten Island,72,12650,832,40138
374,2020-05-07,Bronx,352,40533,3078,111997
395,2020-05-07,Brooklyn,448,48998,4582,143310
402,2020-05-07,Manhattan,201,23730,3036,85898
412,2020-05-07,Queens,494,55944,3992,150067
414,2020-05-07,Staten Island,72,12578,672,39306
436,2020-05-06,Bronx,342,40181,2786,108919
457,2020-05-06,Brooklyn,576,48550,5284,138728
464,2020-05-06,Manhattan,272,23529,2966,82862
474,2020-05-06,Queens,570,55450,4505,146075
476,2020-05-06,Staten Island,105,12506,828,38634
498,2020-05-05,Bronx,363,39839,2657,106133
519,2020-05-05,Brooklyn,395,47974,3597,133444
526,2020-05-05,Manhattan,203,23257,2499,79896
536,2020-05-05,Queens,432,54880,3591,141570
538,2020-05-05,Staten Island,84,12401,702,37806
560,2020-05-04,Bronx,253,39476,2001,103476
581,2020-05-04,Brooklyn,396,47579,3364,129847
588,2020-05-04,Manhattan,154,23054,2246,77397
598,2020-05-04,Queens,358,54448,2633,137979
600,2020-05-04,Staten Island,62,12317,573,37104
622,2020-05-03,Bronx,307,39223,1869,101475
643,2020-05-03,Brooklyn,344,47183,2545,126483
650,2020-05-03,Manhattan,159,22900,1524,75151
660,2020-05-03,Queens,450,54090,2696,135346
662,2020-05-03,Staten Island,60,12255,549,36531
684,2020-05-02,Bronx,466,38916,2857,99606
705,2020-05-02,Brooklyn,564,46839,3804,123938
712,2020-05-02,Manhattan,245,22741,2214,73627
722,2020-05-02,Queens,601,53640,3755,132650
724,2020-05-02,Staten Island,101,12195,729,35982
746,2020-05-01,Bronx,665,38450,3694,96749
767,2020-05-01,Brooklyn,756,46275,4717,120134
774,2020-05-01,Manhattan,321,22496,2606,71413
784,2020-05-01,Queens,765,53039,4517,128895
786,2020-05-01,Staten Island,157,12094,918,35253
808,2020-04-30,Bronx,541,37785,2824,93055
829,2020-04-30,Brooklyn,647,45519,3927,115417
836,2020-04-30,Manhattan,255,22175,2205,68807
846,2020-04-30,Queens,643,52274,3689,124378
848,2020-04-30,Staten Island,126,11937,849,34335
870,2020-04-29,Bronx,644,37244,2977,90231
891,2020-04-29,Brooklyn,636,44872,3944,111490
898,2020-04-29,Manhattan,316,21920,2299,66602
